"GroupName","GroupDescription"
"Admin Data Shares",
"Domain Users",
"GB L S ONESHARE SP ADMINS",
"GBL-G-S-VsphereAdmins",
"Global G Good Admins",
"GLOBAL G OKTA App Admin All",
"GLOBAL G OKTA Grp Admin All",
"Global G Okta O365 Global Admins",
"GLOBAL G OKTA Org Admin",
"Global G Trend Control Manager Admins",
"Global G Trend OfficeScan Admins for Servers",
"Global_G_DCTrack_GateKeeper",
"Global_G_RackTable_Admins",
"ISM Platform Server Adm",
"L Server Admin",
,
"RTCUniversalUserAdmins",
"SEGWintelAdmin",
"Server Support Admin Accounts",
