"ServerName","Connectivity","Advertising","FrsEvent","DFSREvent","SysVolCheck","KccEvent","KnowsOfRoleHolders","MachineAccount","NCSecDesc","NetLogons","ObjectsReplicated","Replications","RidManager","Services","SystemLog","VerifyReferences","CheckSDRefDom","CrossRefValidation","LocatorCheck","Intersite"
"FFTPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"SNGPINFDCG06.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"SNGPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"NJCPINFDCG06.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"NJCPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"LDNPINFDCG06.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"LDNPINFDCG03.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"LDNPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"SNGPINFDCG05.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"SNGPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"NJCPINFDCG04.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"NJCPINFDCG05.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"SNGPINFDCG03.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"NJCPINFDCG03.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"SNGPINFDCG04.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"LDNPINFDCG04.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"LDNPINFDCG05.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"MLAPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"LDNPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"FFTPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"NJCPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"SYDPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"BFSPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"DUBPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"TOKPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"TOKPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"SYDPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"HKGPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"BFSPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"AMSPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"HKGPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"DUBPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"AMSPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"SEOPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"PARPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"PARPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"MADPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"MADPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"LDN1WS0060.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"LDN2WS0044.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"GENPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"GENPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"ZURPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"ZURPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"ALCPINFDCG01.corp.ad.tullib.com",,,,,,,,,,,,,,,,,,,,
"ALCPINFDCG02.corp.ad.tullib.com",,,,,,,,,,,,,,,,,,,,
"BERPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"BERPINFDCG02.corp.ad.tullib.com",,,,,,,,,,,,,,,,,,,,
"BAHPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"BAHPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"COPPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"COPPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"TORPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"TORPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"NORPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"HOUPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"HOUPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"NORPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"JHBPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"JHBPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"LOUPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"LOUPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"DURPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"DURPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"CHIPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"CHIPINFDCG02.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"euw1ws0025.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"euw1ws0026.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"use1ws0002.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"ase1ws0001.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"use1ws0001.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"ase1ws0002.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
"BKKPINFDCG01.corp.ad.tullib.com","Passed","Passed","Passed","Failed","Failed","Failed","Passed","Passed","Passed","Failed","Passed","Failed","Passed","Failed","Failed","Passed","Passed","Passed","Passed","Passed"
