"Server","TimeKeeperVersion","LicenseExpires","TKStatus","ServiceName","ServiceStatus"
"ldn2ws8035","N/A","N/A",,"N/A","N/A"
"ldn2ws8036","N/A","N/A",,"N/A","N/A"
"ldn2ws8037","N/A","N/A",,"N/A","N/A"
"ldn2ws8038","N/A","N/A",,"N/A","N/A"
"ldn2ws8039","N/A","N/A",,"N/A","N/A"
"ldn2ws8040","N/A","N/A",,"N/A","N/A"
"ldn2ws8041","N/A","N/A",,"N/A","N/A"
"ldn2ws8042","N/A","N/A",,"N/A","N/A"
"ldn2ws8043","N/A","N/A",,"N/A","N/A"
"ldn2ws8044","N/A","N/A",,"N/A","N/A"
"LDN1WS8021 ","N/A","N/A","N/A - Connection failed","N/A - Connection failed","N/A - Connection failed"
"LDN1WS8022","8.0.27","195","Primary source offset: 0.000000154 seconds","timekeeper","Running"
"LDN1WS8023","8.0.27","195","Primary source offset: -0.000001709 seconds","timekeeper","Running"
"LDN1WS8024","8.0.27","195","Primary source offset: -0.000003174 seconds","timekeeper","Running"
"LDN1WS8025","8.0.27","195","TimeKeeper is loaded but not active","timekeeper","Running"
"LDN1WS8028","8.0.27","195","Primary source offset: -0.000002329 seconds","timekeeper","Running"
"LDN1WS8029","8.0.27","195","Primary source offset: -0.000002182 seconds","timekeeper","Running"
"LDN1WS8030","8.0.27","195","Primary source offset: 0.000001550 seconds","timekeeper","Running"
"LDN1WS8031","8.0.27","195","Primary source offset: 0.000001204 seconds","timekeeper","Running"
"LDN1WS8032","8.0.27","195","TimeKeeper is loaded but not active","timekeeper","Running"
"LDN1WS0336","8.0.27","195","Primary source offset: 0.000004531 seconds","timekeeper","Running"
"LDN2WS0269","8.0.27","195","Primary source offset: -0.000000304 seconds","timekeeper","Running"
"LDN1WS0335","8.0.27","195","TimeKeeper is not running","timekeeper","Stopped"
"LDN2WS0268","8.0.27","195","TimeKeeper is not running","timekeeper","Stopped"
"LDN1WS0359","8.0.27","195","TimeKeeper is not running","timekeeper","Stopped"
"LDN1WS0354","8.0.27","195","TimeKeeper is not running","timekeeper","Stopped"
"LDN2WS0276","8.0.27","195","TimeKeeper is loaded but not active","timekeeper","Running"
"LDN2WS8092","8.0.27","195","TimeKeeper is not running","timekeeper","Stopped"
"LDN1WS0332","8.0.27","195","Primary source offset: -0.000000665 seconds","timekeeper","Running"
"LDN1WS0333","8.0.27","195","TimeKeeper is loaded but not active","timekeeper","Running"
"LDN2WS0266","8.0.27","195","Primary source offset: -0.003930233 seconds","timekeeper","Running"
"LDN2WS0267","8.0.27","195","Primary source offset: 0.000138826 seconds","timekeeper","Running"
"LDN1WS015N01","8.0.27","195","Primary source offset: 0.000008630 seconds","timekeeper","Running"
"LDN2WS015N02","8.0.27","195","Primary source offset: 0.000004846 seconds","timekeeper","Running"
"LDN1WS014N01","8.0.27","195","TimeKeeper is not running","timekeeper","Stopped"
"LDN2WS014N02","8.0.27","195","Primary source offset: 0.012294342 seconds","timekeeper","Running"
"LDN1WS068N01","8.0.27","195","Primary source offset: -0.000006742 seconds","timekeeper","Running"
"LDN2WS068N02","8.0.27","195","Primary source offset: 0.000158288 seconds","timekeeper","Running"
